Year,Age,Count
2004,0 - 5,132
2004,10 - 15,80
2004,15 - 20,152
2004,20 - 25,237
2004,25 - 30,378
2004,30 - 35,598
2004,35 - 40,1022
2004,40 - 45,1805
2004,45 - 50,3036
2004,5 - 10,76
2004,50 - 55,4421
2004,55 - 60,6092
2004,60 - 65,6514
2004,65 - 70,8470
2004,70 - 75,9686
2004,75 - 80,8889
2004,80 - 85,6438
2004,> 85,3498
2005,0 - 5,152
2005,10 - 15,106
2005,15 - 20,164
2005,20 - 25,247
2005,25 - 30,373
2005,30 - 35,616
2005,35 - 40,1056
2005,40 - 45,1912
2005,45 - 50,3048
2005,5 - 10,60
2005,50 - 55,4398
2005,55 - 60,6129
2005,60 - 65,6475
2005,65 - 70,8284
2005,70 - 75,9381
2005,75 - 80,8843
2005,80 - 85,6567
2005,> 85,3565
2006,0 - 5,134
2006,10 - 15,99
2006,15 - 20,167
2006,20 - 25,233
2006,25 - 30,393
2006,30 - 35,555
2006,35 - 40,1034
2006,40 - 45,1779
2006,45 - 50,2903
2006,5 - 10,58
2006,50 - 55,4437
2006,55 - 60,6097
2006,60 - 65,6834
2006,65 - 70,8106
2006,70 - 75,8985
2006,75 - 80,8608
2006,80 - 85,6587
2006,> 85,3803
2007,0 - 5,120
2007,10 - 15,80
2007,15 - 20,163
2007,20 - 25,253
2007,25 - 30,402
2007,30 - 35,624
2007,35 - 40,1123
2007,40 - 45,1831
2007,45 - 50,3260
2007,5 - 10,59
2007,50 - 55,4590
2007,55 - 60,6121
2007,60 - 65,7544
2007,65 - 70,7909
2007,70 - 75,8969
2007,75 - 80,9140
2007,80 - 85,6828
2007,> 85,4154
2008,0 - 5,112
2008,10 - 15,92
2008,15 - 20,152
2008,20 - 25,235
2008,25 - 30,415
2008,30 - 35,605
2008,35 - 40,1071
2008,40 - 45,1802
2008,45 - 50,3131
2008,5 - 10,73
2008,50 - 55,4588
2008,55 - 60,6140
2008,60 - 65,7604
2008,65 - 70,7849
2008,70 - 75,9039
2008,75 - 80,9414
2008,80 - 85,6744
2008,> 85,4672
2009,0 - 5,133
2009,10 - 15,86
2009,15 - 20,157
2009,20 - 25,266
2009,25 - 30,425
2009,30 - 35,604
2009,35 - 40,1031
2009,40 - 45,1802
2009,45 - 50,2868
2009,5 - 10,69
2009,50 - 55,4613
2009,55 - 60,6080
2009,60 - 65,8019
2009,65 - 70,7938
2009,70 - 75,9204
2009,75 - 80,9136
2009,80 - 85,7054
